"Data-base,""Código Município"",""Município"",""Código Estado"",""Estado"",""Sigla Região"",""Região"",""Valor Pagador PF "",""Quantidade de Transações Pagador PF"",""Valor Pagador PJ"",""Quantidade de Transações Pagador PJ"",""Valor Recebedor PF"",""Quantidade de Transações Recebedor PF"",""Valor Recebedor PJ"",""Quantidade de Transações Recebedor PJ"",""Quantidade Pagador Pessoa PF"",""Quantidade Pagador Pessoa PJ"",""Quantidade Recebedor Pessoa PF"",""Quantidade Recebedor Pessoa PJ"""
"202101,5002803,""CARACOL"",50,""MATO GROSSO DO SUL"",""CO"",""CENTRO-OESTE"",478469.14,1180,50667.52,103,464698.89,1133,69529.89,61,319,21,346,18"
"202308,4126900,""TAPIRA"",41,""PARANÁ"",""SU"",""SUL"",11084338.79,41602,5110513.64,3157,12132611.26,25632,4950457.33,9597,2441,157,2380,145"
"202112,4126900,""TAPIRA"",41,""PARANÁ"",""SU"",""SUL"",6113898.01,15797,2223408.05,1229,5983358.53,12766,2082331.41,2647,1467,115,1435,109"
"202108,5002803,""CARACOL"",50,""MATO GROSSO DO SUL"",""CO"",""CENTRO-OESTE"",2766859.76,10374,1483851.92,991,2752477.15,9081,1278804.53,1414,1153,99,1095,87"
"202501,3148301,""PAULA CÂNDIDO"",31,""MINAS GERAIS"",""SE"",""SUDESTE"",17235478.88,91674,2749080.96,2962,14405837.15,54809,3994001.41,8522,4106,203,4078,186"
"202305,2933174,""VARZEDO"",29,""BAHIA"",""NE"",""NORDESTE"",13421122.57,77164,6991034.7,3084,12606019.03,67258,3984287.66,6334,3274,104,3294,99"
"202206,2605301,""EXU"",26,""PERNAMBUCO"",""NE"",""NORDESTE"",26520800.95,123429,3540259.74,2953,26591623.61,106105,3596739,8780,8911,237,9208,216"
"202407,2909000,""CORDEIROS"",29,""BAHIA"",""NE"",""NORDESTE"",13457679.31,70284,2354527.98,2995,13623985.97,42030,2619859.97,8456,3143,114,3040,103"
"202409,2104628,""GOVERNADOR LUIZ ROCHA"",21,""MARANHÃO"",""NE"",""NORDESTE"",18798852.76,145025,2028473.37,2665,17432023.4,87435,2306097.15,10989,3769,64,3647,68"
"202305,4321451,""TEUTÔNIA"",43,""RIO GRANDE DO SUL"",""SU"",""SUL"",48620160.42,213910,64021114.6,30693,48353392.69,128479,68905827.55,93814,15432,1733,14117,1712"
"202210,5002803,""CARACOL"",50,""MATO GROSSO DO SUL"",""CO"",""CENTRO-OESTE"",6898306.67,30239,1798817.7,2293,7298782,23899,1464072.66,5220,2075,131,2040,126"
"202207,4310330,""IMBÉ"",43,""RIO GRANDE DO SUL"",""SU"",""SUL"",42300482.52,179224,18172274.13,22426,47179760.3,144525,16576761.72,44348,11399,1027,11125,959"
"202307,5002803,""CARACOL"",50,""MATO GROSSO DO SUL"",""CO"",""CENTRO-OESTE"",8807363.21,50107,2657197.4,3530,8979432.11,32675,2333661.98,7972,2452,162,2342,165"
"202505,4126900,""TAPIRA"",41,""PARANÁ"",""SU"",""SUL"",7441133.77,29142,3510853.82,2020,7158487.21,15383,3518567.14,6775,2650,196,2473,188"
"202204,5002803,""CARACOL"",50,""MATO GROSSO DO SUL"",""CO"",""CENTRO-OESTE"",4987965.25,20967,1350829.7,1831,5012909.5,16432,1260615.2,3544,1677,122,1642,120"
"202109,4126900,""TAPIRA"",41,""PARANÁ"",""SU"",""SUL"",4800756.75,10142,1567260.75,914,4187380.01,8536,1671964.55,1472,1268,97,1233,100"
"202206,4126900,""TAPIRA"",41,""PARANÁ"",""SU"",""SUL"",6789111.79,21152,4766006.81,1944,6574253.69,15290,3090839.24,4481,1813,131,1753,127"
"202102,4126900,""TAPIRA"",41,""PARANÁ"",""SU"",""SUL"",1250785.07,2073,402192.44,244,1533249.82,1994,366714.01,158,471,47,499,50"
"202202,3148301,""PAULA CÂNDIDO"",31,""MINAS GERAIS"",""SE"",""SUDESTE"",3954522.38,15436,607004.44,516,4124425.74,13502,464583.74,961,1815,72,1883,73"
"202212,5002803,""CARACOL"",50,""MATO GROSSO DO SUL"",""CO"",""CENTRO-OESTE"",8863196.06,38532,2173879.71,2773,9575986.32,28446,2202936.19,6924,2192,137,2146,136"
"202401,4115002,""MARILENA"",41,""PARANÁ"",""SU"",""SUL"",12641521.13,74424,6154086.83,6272,13080778.22,40657,7067715.81,18464,3299,242,3277,238"
"202311,3303500,""NOVA IGUAÇU"",33,""RIO DE JANEIRO"",""SE"",""SUDESTE"",2299501455.11,16765635,860154258.16,748572,2341606751.81,12729637,784840677.09,2025494,516877,23594,518282,22397"
"202110,4126900,""TAPIRA"",41,""PARANÁ"",""SU"",""SUL"",4177401.22,10894,1591966.52,1029,4741637.95,8900,1415105.44,1486,1386,107,1280,99"
"202312,4115002,""MARILENA"",41,""PARANÁ"",""SU"",""SUL"",14552696.92,82852,7098747.87,6536,15453079.6,47745,8002945.05,21751,3244,252,3299,244"
"202310,2511004,""PEDRA BRANCA"",25,""PARAÍBA"",""NE"",""NORDESTE"",4781219.34,37358,337897.85,401,4728068.57,24269,318687.25,1784,1658,34,1659,27"
"202408,4115002,""MARILENA"",41,""PARANÁ"",""SU"",""SUL"",16210802.02,96787,7700405.13,7439,16842651.79,51536,8992282.01,22006,3658,280,3680,261"
"202204,2909000,""CORDEIROS"",29,""BAHIA"",""NE"",""NORDESTE"",4943879.16,19311,719691.05,656,5076360.56,15513,899673.1,1229,1760,65,1800,59"
"202210,2933174,""VARZEDO"",29,""BAHIA"",""NE"",""NORDESTE"",9793796.27,55338,4625476.16,1909,9465323.2,49154,2782038.91,3185,2771,96,2798,83"
"202411,4126900,""TAPIRA"",41,""PARANÁ"",""SU"",""SUL"",15955000.56,71271,9745236.75,5329,17211307.72,38784,9463958.38,15565,2846,202,2784,189"
"202505,2909000,""CORDEIROS"",29,""BAHIA"",""NE"",""NORDESTE"",6819338.05,32410,1562065.33,1404,7010795.34,17883,2066332.92,4452,3058,111,2723,117"
"202505,2605301,""EXU"",26,""PERNAMBUCO"",""NE"",""NORDESTE"",37020037.3,222283,4612101.73,4651,34970036.57,138222,4750303.75,27656,16369,367,15122,347"
"202501,2511004,""PEDRA BRANCA"",25,""PARAÍBA"",""NE"",""NORDESTE"",7534890.77,55533,494601.52,751,6956357.37,33786,510037.89,3627,1976,37,1958,34"
"202106,4115002,""MARILENA"",41,""PARANÁ"",""SU"",""SUL"",2662676.95,7323,1542189.39,926,2821115.87,7368,2257013.87,1616,1188,100,1237,103"
"202201,5208301,""DIVINÓPOLIS DE GOIÁS"",52,""GOIÁS"",""CO"",""CENTRO-OESTE"",3222988.03,16033,347572.05,413,3461743.12,13835,249011.6,1147,1474,42,1516,42"
"202501,2605301,""EXU"",26,""PERNAMBUCO"",""NE"",""NORDESTE"",82126569.79,533513,13780742.04,11028,75959622.36,339198,14504744.84,67325,17611,414,17050,360"
"202410,2605301,""EXU"",26,""PERNAMBUCO"",""NE"",""NORDESTE"",87721176.39,552479,11879124,12286,81431428.96,357626,13215999.72,64119,17455,408,16839,352"
"202212,4126900,""TAPIRA"",41,""PARANÁ"",""SU"",""SUL"",9829868.73,33248,5260451.73,3371,10658407.37,23138,5351537.6,8176,2090,142,2074,138"
"202412,2105005,""HUMBERTO DE CAMPOS"",21,""MARANHÃO"",""NE"",""NORDESTE"",47600696.84,478815,6556445.15,7750,41863898.54,296314,5568385.6,37116,12539,153,11982,142"
